['192.168.0.1', '11000000 10101000 00000000 00000001', '0300 0250 0000 0001', 'C0 A8 00 01']
['10.10.10.1', '00001010 00001010 00001010 00000001', '0012 0012 0012 0001', '0A 0A 0A 01']
['255.255.255.255', '11111111 11111111 11111111 11111111', '0377 0377 0377 0377', 'FF FF FF FF']
['1.1.1.1', '00000001 00000001 00000001 00000001', '0001 0001 0001 0001', '01 01 01 01']
['172.168.150.1', '10101100 10101000 10010110 00000001', '0254 0250 0226 0001', 'AC A8 96 01']
['100.100.100.100', '01100100 01100100 01100100 01100100', '0144 0144 0144 0144', '64 64 64 64']
['15.150.150.150', '00001111 10010110 10010110 10010110', '0017 0226 0226 0226', '0F 96 96 96']
['236.136.36.6', '11101100 10001000 00100100 00000110', '0354 0210 0044 0006', 'EC 88 24 06']
['5.10.15.20', '00000101 00001010 00001111 00010100', '0005 0012 0017 0024', '05 0A 0F 14']
['250.200.150.100', '11111010 11001000 10010110 01100100', '0372 0310 0226 0144', 'FA C8 96 64']
